id,sentence,label
0,"considering this , we assumed that it is a very promising domain for an experimental dialogue system .",0
1,"according to mdl , the best probability model for a given set of data is a model that uses the shortest code length for encoding the model itself and the given data relative to it .",1
2,response complexity : there is a reward and a punishment associated with each system response that reflects the complexity of the content and realization of the system responses .,1
3,we therefore divide by this score to assure that a perfect sentence gets a score of 1 .,0
4,here is an overview of the chronology of events .,0
5,the previous mapping between the two structures defines a tree transformation .,0
6,"in this paper , we propose the application of another sampling technique in the parameter estimation process of the wsme model which was introduced by propp and wilson ( propp and wilson , 1996 ) : the perfect sampling ( ps ) .",1
7,"for example , comparing the first two descriptions of . a necklace in figure 1 , 2 is less coherent than 1 because of the shifting from the description of the necklace to that of the designer , which is a side effect of embedding .",0
8,"the language model for speech recognition is a network ( regular ) grammar , and it allows each speech interval to be an arbitrary number of phrases .",1
9,algorithm is based on rules for discriminating among the two types of anaphor based on the predicative contexts in which the anaphors occur .,0
10,"verb subcategorization frequency differences between businessnews and balanced corpora : the role of verb sense idouglas roland , ~ '' danid jurafsky , `` 3lise menn , 'susanne gahl , ielizabeth elder and ichris riddoch ~department of linguistics , 2department of computer science , 3institute of cognitive science university of colorado boulder , co 80309-0295 { douglas.roland , jurafslq1 , lise.menn , elizabeth.elder , christopher.b.riddoch } @ colorado.edu 'department of linguistics harvard university cambridge ma 02138 sgahl @ fas.harvard.edu",0
11,a voting algorithm for learning blocks of bits proves as accurate as an expensive feature-selecting algorithm .,0
12,weighted accuracy is a measure that weights higher the hits and misses 100 for the preferred class .,1
13,"the following describes the active learning algorithm used in the experiments : tbldt ) to obtain chunk probabilities on the rest of the training data ; ing set , specifically the samples that optimize an evaluation function f , based on the class distribution probability of each sample ; fication 3 to the training pool and retrain the system ; 5 .",0
14,"to normalize for sentence length , we define an evaluation function that computes the similarity between the actual probability distribution and the uniform distribution for a sentence of that length .",0
15,supar is a computational system focused on anaphora resolution .,1
16,requestvalue ( p=v ) : system asks whether the value v of parameter p is correct .,1
17,"166 words in a sentence , and posi_v represents the region in which a word lies .",1
18,"finite mixture models have been used in a variety of applications in text processing ( e.g. , ( li and yamanishi , 1997 ; nigam et al. , 2000 ; hofmann , 1999 ) ) , indicating that they are essential to text processing .",1
19,"furthermore , matching trees and sub-trees is a computationally intensive task , especially since full linguistic parse trees may be relatively deep .",0
20,"as it is said in ( seto , 1996 ) , ~ ( . . ) there often is a one-tone correspondence between different languages in their lexiealization behaviour towards metonyrny , in other words , metonymically related word senses are often translated by the same word in other languages `` .",0
21,assigned to each individual term is a different weight so as to reshape a new search emphasis .,0
22,"sahami and others ( 1998 ) propose the utilization of a naive bayes classifier based on the words and a set of manually derived heuristics for uce filtering , showing that the heuristics improve the effectiveness of the classifier .",0
23,"in addition , there is a lack of publicly available chinese corpus for evaluating chinese text categorization systems .",0
24,"for the keywords of length 3 ,4 , and 5 , each keyword is divided into two parts x and y. x is a candidate of proper name and 17 y is a candidate of organization type .",1
25,"both of them try to expand a `` basic-keyword ' ' , that is a keyword direcdy derived from a natural language question .",1
26,"2 • given an activated concept , which more general lexical items are considered in tile choice process ; are there any restrictions on .-lexical inheritance ?",0
27,"we anticipate that this is a useful feature because singular indefinite countable nouns normally take the article a/n , whereas singular indefinite uncountable nouns normally take no article : a dog vs water .",0
28,annotations which capture information in the raw data at several different conceptual levels or mark up phenomena which refer to more than one level .,0
29,"from the perspective of discourse analysis , the study of discourse markers basically involves four distinct but fundamental issues : 1 ) the occurrence and the frequency of occurrence of discourse markers ( moser and moore 1995 ) , 2 ) determining whether a candidate linguistic item is a discourse marker ( identification / disambiguation ) ( hirschberg and litman 1993 ; siegel and mckeown 1994 ) , 3 ) determination or selection of the discourse function of an identified discourse marker ( moser and moore 1995 ) , and 4 ) the coverage capabilities ( in terms of levels of embedding ) among rhetorical relations , as well as among individual discourse markers .",0
30,"the i : j-th element denotes the number of documents in which both words w , : and wj appear , f ( wi , wj ) ( figure 2 ) .",0
31,"clearly , the performances of wsd systems are related to a variety of parameters , but the formal nature of these dependencies is not fully understood .",0
32,np ) v @ np !,0
33,"2.2 uncertainty in speech transcriptions one of the primary factors that distinguishes textbased language processing tasks , such as reading comprehension , from spoken-language processing tasks , such as audio comprehension , is the uncertainty inherent in the word sequence output by the speech recognizer .",0
34,"`` it is not sufficient that the string `` robert sheckley `` or `` sheckley `` is in the text , but the document has to say that robert sheckley is the author of options .",0
35,trips-911 can currently interpret expressions with respect to the actual time .,0
36,an information structure consists of two components : hownet definitions and dependency relations .,1
37,"as a result , intransitive verbs are defined as s\np , figure 1 , for the grammar to account for these sentences .",1
38,see figure 1 : the category of the constituent embedding the np the problem is pp .,0
39,the motivation is that we now assume that a context for a word belonging ( also to ) ct is a valid context for any word in that category .,0
40,"of these , 5 ,922 words are polysemous , i.e. , they have more than one sense .",1
41,"an auxiliary tree represents a recursive structure and has a unique leaf node , called the foot node , which has the same syntactic category as the root node .",1
42,the basic entity is a semantic object ( s ) which is an atomic item treated by the dm .,1
43,reward and punishment can be predetermined and then re-adjusted later when the user and the group modeling progresses .,0
44,"• 3 inappropriate clusters that relate homonyms , such as band 2 ,7 ( strip or stripe of a contrasting color or material/unofhcial association of people ) .",0
45,'doe ' denotes the number of documents .,0
46,"given an input string o = < ol , 02 , . . . , on > , a phrase is a substring of consecutive input symbols oi , oi+l , . . . , oj .",1
47,a writer expects that the checking tool should not only detect errors but also propose a cl conformable expression .,0
48,an evaluative argument is presented in the context of a decision task and measures related to its effectiveness are assessed .,0
49,s is the set of states reachable by the parser .,0
50,`` textual `` section describes three unification-based parsers which are ... `` own `` we also compare with the english language and draw some conclusions on the benefits of our approach .,1
51,"mimic `` provides movie listing information involving knowledge about towns , theaters , movies and showtimes , as demonstrated in figure 1 .",1
52,"we then ask two questions : do these verbs have the same subcategorizafion probabilities across corpora , and , when there are differences , what is the cause .",0
53,"in the deeper linguistic analysis the two so 's may be related , for they refer to a situation involving excessive height with implied consequence which may or may not be stated .",1
54,the first is the singlepass method .,0
55,a dialogue move engine ( dme ) updates the information state on the basis of observed dialogue moves and selects appropriate moves to be performed .,1
56,"spam , or more properly unsolicited commercial e-mail ( uce ) , is an increasing threat to the viability of internet e-mail and a danger to internet commerce .",1
57,"one of the most notable computational inadequacies of the finite-state model is the absence of a pushdown mechanism to suspend the processing of a constituent at a given level while using the same grammar to process an embedded constituent ( woods , 1970 ) .",0
58,coverage was measured by having human if specialists annotate unseen data .,1
59,"kis kcs % context retrieval increasing with respect to kas f. ( l , os .",0
60,the second 56 measure is the probability of correct classification .,0
61,coverage means that how many pairs which appeared in a test set also appear in a trainlug set .,1
62,"using xml properties , the grammar has easily access to all the levels of the document ( word , tag , phrase , and higher structures ) .",1
63,the informative abstract is the information obtained by this process as it is shown in figure 1 .,1
64,the generation of dialogue scripts and result summaries is fully implemented in verb~viobil for german and english .,0
65,"most importantly in sfg the only irreducible definition of meaning , or structure , is a set of contrasts between events , or observations .",0
66,the output of the planner is a partially ordered plan with speech-acts as leaves .,0
67,lexical conceptual structure is a compositional structure that captures a concept .,1
68,"the result is a list that may be written as l = { chihuahua , largesh } , which can be employed to generate the description 'the largest chihuahua ' .",0
69,"however , the second version in figure 2 shows that if we know that `` our straws '' is a location phrase and that `` year behind it '' is a person phrase ( albeit incorrectly transcribed ) , we could at least know where in the passage to find the answer to the who ?",0
70,once the corpus was segmented the next step was to align it .,0
71,"pi ( c~ ) is the probability of beginning a derivation with c~ ; ps ( o i 77 ) is the probability of substituting o~ at 7 ; finally , pa ( none i 7 ) is the probability of nothing adjoining at ~/ .",1
72,the center in an utterance un is the most grammatically salient entity realised in u~_i which is also realised in un .,1
73,"the parameters e and s have the following meaning : e is the probability that the learner produces a generalization of the sample that does not coincide with the target concept , while s is the probability , given d , that a particularly unrepresentative ( or noisy ) training sample is drawn .",1
74,texts consists of spanish descriptions of specimens .,0
75,( who is the father of the relativity theory ?,0
76,"the algorithm disambiguate_class , which is implemented by resnik and described in detail in [ resnik , 1999 ] , calculates the similarity between all the words ' senses of words in a set .",1
77,our algorithm also focuses on inflectional languages .,0
78,the output is a tree structure which represents the hierarchy of constraint information that is deemed most useful to convey to the user .,0
79,"an evaluation , which is a number in the interval [ 0 ,1 ] where , depending on the subject , 0 means `` terrible '' or `` much worse '' and 1 means `` excellent '' or `` much better '' ) .",0
80,"( l-gatsu ichigatsu month nil i ) the first three elements are the identifier , the pronunciation , and the grammatical category of the word .",0
81,"for the lcs-amr in figure 3 , the thematic hierarchy is what determined that the lunited statesl is the subject and iquotal is the object of the verb ireducel .",1
82,"although keywords may offer some indication of `` meaning , `` they alone can not capture the richness and expressiveness of natural language .",0
83,"for example , largest ( x , goal ) states that the object x satisfies goal and is the largest object that does so , using the appropriate measure of size for objects of its type ( e.g .",1
84,"there are ' two , situations where the text planning module helps specifically in the generation of referring expressions : ( 1 ) when the complexity for expressing a graphic demands an example and 5 `` graphemes are the basic building blocks for constructing pictures .",0
85,"thus these clusters of adjectives have great possibility to be combined into one cluster , while the ordinary hierarchical clustering algorithm can not do it .",0
86,the recall is the number of identified errors over the total number of errors .,1
87,"al , a2 , refo ) [ compellingness ( o , al , a2 , refo ) [ > px+ko'x , where o , al , a2 and refo are defined as in the previous def ; opop is an objective population ( e .g . , siblings ( o ) ) , and i opopl > 2 pe opop ; xex = [ compellingness ( p , al , a_~ , refo ) l gx is the mean of x , ~x is the standard deviation and k is a userined constant we have defined similar measures for arguing the value of a single entity and we named them s-compellingness and s-notably-compelling ? .",1
88,it is a known proper name ( bib ) or a location name ( no ) .,0
89,"user expertise level and corresponding dialog strategies 98 3.3 algorithm the proposed algorithm for action planning , content selection and content realization is given in figure 3 .",0
90,in the double-pass method finding the most likely tag for each word was split in finding chunk boundaries and assigning types to the chunks .,0
91,"the argument by cases consists of a pair of argument graphs , one graph for each case .",0
92,"4 the planner we use is a modification of the drips decision-theoretic hierarchical planner ( haddawy and hanks , 1998 ) .",0
93,we explain the features of the geoquery representation language through a sample query : input : `` w'hat is the largest city in texas ?,0
94,"also , the tools presented here tend to reduce the growth in code size with complexity ( as measured by the number of possible constraints ) .",0
95,the result of the linearization phase is a word lattice specifying the sequence of words that make up the resulting sentence and the points of ambiguity where different generation paths are taken .,1
96,sentence generation and neural networks 2 .,0
97,"the final score assigned to each polysemous term tl is the highest scorepolycqi , s .",0
98,*3 of the 400 sentences were not parsed due to timeouts and/or pruning problems .,0
99,but interestingly this practical ew~luation confirmed our theoretical evaluation that atranslation can be produced with transtype by typing less than 40 % of the characters of a translation .,0
100,"as mentioned above , create goals are satisfied by summarization filters , which create new media objects summarizing information sources .",0
101,keeping it is a naive method to translate a chinese query only by looking up each chinese term to get its english senses in a chinese-english dictionary .,0
102,"however , the scores produced by such evaluation measures can not be used reliably to compare summaries of drastically different lengths , since a much longer summary is more likely than a short summary to produce a term frequency .vector which is similar to the full document 's `` tf vector , despite the normalization of the two vectors .",0
103,"hence , if a is the correct lemma , b will ( also ) be retrieved .",0
104,"the next most dominant feature is the semtype value object , which appears in the np for 29.41 % of the answer sentences and pp needsemtype for 15.68 % of the answer sentences .",0
105,we have tested quarc on reading comprehension tests typically given to children in grades 3-6 .,0
106,"besides part of speech , the only other information used by the recognizer is the lexical status of words , i.e .",0
107,section 5 describes two further experiments very briefly .,0
108,"godis is a/derf prototype dialogue system for information-seeking dialogue , capable of accommodating questions and tasks to enable the user to present information in any desired order , without explicitly naming the dialogue task .",0
109,"the bigram language models are popular , in much language processing applications , in both indo-european and asian languages .",0
110,further analysis shows that the new lexicon brings positive effect to 10 queries and negative effect to 4 queries .,0
111,"there are two types of situations in which multidocument summarization would be useful : ( 1 ) the user is faced with a collection of dis-similar documents and wishes to assess the information landscape contained in the collection , or ( 2 ) there is a collection of topicallyrelated documents , extracted from a larger more diverse collection as the result of a query , or a topically-cohesive cluster .",0
112,"one document `` barbie '' in the jang ( 1997 ) collection has a total of 1 ,468 words comprised of 755 content words and 713 function words .",1
113,"this is understandable , in the sense that the larger the document , the smaller proportion of fixed sections it will contain .",0
114,"if there is a match , assume the current pn is being used to corefer to the referent of the matching pn .",0
115,"therefore we will give maximum score to the synset of a monosemous translation , that is , the translation which has only one corresponding synset .",0
116,"in the concrete case , this model is a grammar ; lexical semantics determines the separate constraints that can go into a description and compositional semantics determines how these constraints can share variables and so describe common objects .",1
117,"low frequency denotes the number of occurrences less than 100 , middle frequency denotes the number of occurrences between 100 and 1000 , and high frequency denotes the number of occurrences more than 1000 .",1
118,"2 taking each category of the three in turn , problematic constructs included : cordination , punctuation , treating ditransitive vps as being transitive vps , confusions regarding adjective or adverbial phrases , and copulars seen as being possessives .",0
119,the field of information retrieval ( ir ) is the traditional discipline that addresses this problem .,0
120,"these problems are the generation of intersentential anaphora , the detection of coreference chains and the generation of spanish zero-pronouns into english .",0
121,the reason is that in the training data all word sequences whose previous word is `` ~ '' is a not a person name .,0
122,"`` for this more general case , define b ( x ) to be b ( x1 , x2 , . . .x , ) where each xi is a possible value of x .",1
123,"given an unknown word w ' occurring in a context represented by f ' k , the wsd algorithm assigns w ' to the category in c that maximizes the similarity between f ' k and one of its members .",0
124,"relations between `` noun -tno '' and their head nouns among japanese adnominal constituents , `` noun + no '' represents a wider range of semantic relations than other adnominal constituents .",0
125,"let $ 1 : - ' , s , , be all the other training documents ( where m is the number of training documents which does not belong to the target event ) and sx be a test document which should be classified as to whether or not it discusses the target event .",1
126,an ontology is a set of knowledge concepts about the world .,1
127,"* fact annotations : ilex was designed to work with various extra information known about facts , such as the assumed level of interest to the current reader model , the importance of the fact to the system 's educational agenda , and the assumed assimilation of the information ( how well does the system believe the reader to already understand it ) .",0
128,"finally , what may sound right for a human speaker may sound awkward for a computer , but we believe that mimicking a human , especially a domain expert , is the best we can do , at least for now .",0
129,"each of the documents is flagged as to whether it discusses the target event , and these flags ( 'yes ' , 'no ' ) are the only information used tbr training the system to correctly classic `` the target event .",0
130,"a good embedding is one satisfying all the following conditions : strative or a bridging description ( as defined in ( poesio et al . , 1997 ) ) .",1
131,"the nl-unl encoding tool , or unl encoder , is generic enough to handle all the 29 languages included in the project .",1
132,"for example , in cases where the background system is distributed and consists of several domain and application system knowledge sources the dialogue system must know which of them to access , in what order , and how the results should be integrated into one answer .",0
133,next section describes a clustering strategy that adequates to the information retrieval criterion : cluster senses if they tend to co-occur in the same semcor documents .,0
134,this paper describes a first attempt at a statistical model for simultaneous syntactic parsing and generalized word-sense disambignation .,0
135,what happens if a sentence contains an existential quantifier which has a wider scope than a universal quantifier ?,0
136,following is a list of various methods of creating multi-document summaries by extraction : find the important relevant parts that the cluster of documents have in common ( their intersection ) and use that as a summary .,0
137,"a thesaurus tree is a hierarchically organized lexicon where leaf nodes encode lexical data 21 ( i.e. , words ) and internal nodes represent abstract semantic classes .",1
138,"in general , and this is the case for linguistic concepts , we can only hope that h is a good approximation of ci..",0
139,"phrasal terms are utilized either as replacement of single words or as supplemental units for single words , but according to our experience , phrasal terms as replacement of single words do not perform well .",0
140,article choice can pose difficult problems in natural language applications .,0
141,if a new unit contains no referential expression then the algorithm makes no prediction .,0
142,ger : : country -- > `` germany '' .,0
143,"complex schemes like tobi could be used in this way , or simpler schemes providing labels to distinguish types of accents , associated with words , and types of intonation boundaries .",0
144,"mercury provides telephone access to an on-line flight database , and allows users to plan and price itineraries between major airports worldwide .",0
145,"ilex is an adaptive hypertext generation system , providing natural language descriptions for museum objects .",1
146,"we are investigating the acquisition of word order , which reflects the underlying order in which constituents occur in different languages .",0
147,"we collected four measures of performance : • recognition time , measured , in multiples of cpu real time ( cpurt ) .",1
148,"more features are introduced in our method , such as the linear order of entity names , the word ( s ) between the entity names , the relative position of the entity names ( in one sentence or in neighboring sentences ) , etc .",1
149,weighted probability distribution voting ( wpdv ) is a supervised learning approach to classification .,1
150,the second experiment compares the performances achieved by tbldt and c4.5 training on samples selected by active learning .,0
151,"3 .1 the basic tabulate algorithm most ilp methods use a set-covering method to learn one clause ( rule ) at a time and construct clauses using either a strictly top-down ( general to specific ) or bottom-up ( specific to general ) search through the space of possible rules ( lavrac and dzeroski , 1994 ) .",1
152,1.1 .,0
153,"4.3 performance measures our experiments adopt the most commonly used performance measures , including the recall , precision , and f1 measures .",0
154,"the check operator `` answer-to ( a , q ) `` is true if a is a relevant answer to q given the current information state , according to a ( domain-dependent ) definition of question-answer relevance .",1
155,section 2 presents the transformation based learning paradigm ; section 3 describes the algorithm for construction of the decision tree associated with the transformation based list ; section 4 describes the experiments in detail and section 5 concludes the paper and outlines the future work .,0
156,at- tribute evaluation is the process of computing values for every attribute instance in the tree according to the semantic rules defined for each production .,1
157,we will use the artificial dataset given in fig 4 which displays 4 different patterns of gap threading .,0
158,"the user just selects the utterance to nark up and then clicks on the violation type palette , or , in case it is a new type , clicks on the violated cooperafivity guideline which means that a new violation type is added and text can be entered to describe it , el .",0
159,summarization-based algorithms for text categorization are outlined in section 3 .,0
160,a venture capitalist who wants to invest in an mt start-up needs to know a different set of attributes about the system than does a developer who needs to see if the most recent software changes improved ( or degraded ) the system .,0
161,a 57 case in point is the representation of numbers .,0
162,"generation of descriptions covers a number of tasks , one of which consists of finding a set l of properties which allows a reader to pick out a given unique individual or set of individuals .",0
163,"in table 4 , 'num ~ denotes the number of documents in a set .",0
164,an example of a training data and a resulting lexical context is shown in figure 3 .,0
165,"second , the method is a potentially helpful extension to memory-based learning of language processing tasks .",0
166,here is the latest document summary .,0
167,we present discourse annotation work aimed at constructing a parallel corpus of rhetorical structure trees for a collection of japanese texts and their corresponding english translations .,0
168,"the corpus we use in our experinaent is a relative small corpus about computer handbook , in which the terms are translated with high consistency .",0
169,"we present a tool for the acquisition and the typing of nes from the web that associates a harvester and three parallel shallow parsers dedicated to specific structures ( lists , enumerations , and anchors ) .",0
170,chinese is a non-inflectional language and therefore morphological analysis is not essential .,1
171,2 an overview of hownet hownet is a bilingual general knowledge-base describing relations between concepts and relations between the attributes of concepts .,1
172,"when the training corpus consists of a large reservoir of fully annotated parse trees , it is possible to directly extract a grammar based on these parse trees .",0
173,"which makes the crucial distinction between nucleus , which is the most important part of a message , and satellite , which is the peripheral part of the message .",1
174,so it is an excellent framework for experimenting with the interaction between aggregation and text planning .,0
175,p ( neg ) is the probability that a negative example is mislabelled and its value can be estimated given # ( in equation ( 6 ) ) and the total nnrnber of positive and negative examples .,1
176,"a non-restrictive component gives additional information to a head that has already been viewed as unique or as a member of a class that has been independently identified , therefoee is not ' essential for the identification of the head ' ( quirk et al . , 1985 ) .",1
177,"( 1994 ) , t'sou et al .",0
178,"the first quantity is normalized with the a priori probabilities of the various feature values of feature f : h ( c ) eveva es ( f ) p ( v ) × h ( qf=v ] ) ( 6 ) here , h ( c ) is the class entropy , defined as h ( c ) =~ p ( c ) log 2p ( c ) .",1
179,l ) 3 amanda huggenkiss .,0
180,"error probability is a metric for evaluating segmentation results proposed in ( allan et ai. , 1998 ; beeferman etal. , 1999 ) .",1
181,it does not assume that the user receives any training in search and retrieval or has any prior experience in using internet .,0
182,"since c4.5 generates probabilities for each classification decision , they can be redirected into the input for the next position .",0
183,examples of such rudimentary weighting schemes are the use of a weight of k !,0
184,"furthermore , the system allows automated sub-goal utility adjusmaent based on history of interactions with groups of users .",0
185,"to compare two evaluation measures , whose scores may have very different ranges and distributions , one must compare the order in which the measures rank various summaries of a document .",0
186,the panasonic lc90s is a 19 '' -display .,1
187,"( in many other approaches , speed is a function of the grammar size , because it is searched during realization ( elhadad , 1992 ; elhadad , 1993 ; mann , 1983 ; mckeown , 1982 ; mckeown , 1985 ) .",0
188,"starting from the question what are the elementary units to consider for a text ' s discourse structure , i presented an account for prepositional phrases with adjunct-status as discourse units .",0
189,"section 4 discusses additional robustness techniques at the recognizer level , and section 5 describes dialogue-level robustness techniques .",0
190,"in ps , we obtain a sample from the limit distribution of an ergodic markov chain x = { xn ; n _ > 0 } , taking values in the state space s ( in the wsme case , the state space is the set of possible sentences ) .",1
191,"the start system ( katz , 1990 ; katz , 1997 ) analyzes english text and builds a knowledge base from information found in the text .",1
192,"the verb rules defined here are less general then the basic verb groups ( osolsob~ , 1999 ) .",0
193,"the output of the discourse component [ seneff ( 1996 ) ] is the framein-context , which is transformed into a flattened eform ( electronic form ) by the generation server .",1
194,"obviously , a total of 13,950 keywords could never have been obtained since die maximum possible number of 10 keywords in the letters corpus is 2,415 , which is the total number of types .",0
195,"the amount of saving in manual scanning for errors is called the skip ratio , which is the number of blocks classified as correct over the total number of blocks .",0
196,"one task is the acquisition of new structures , the second task is the evaluation of given structures .",0
197,"also , the sequence of adjectives is saved as the 0th bound variable , and the sequence of nouns is saved as the 1st bound variable .",0
198,long sentence analysis has been a critical problem because of high complexity .,0
199,"based on the keyword feature table , the second phase of rule insertion translates each rule into a m-dimensional vector a and a n-dimensional vector b , where m is the total number of features in the keyword feature table and n is the number of categories .",1
200,the following is the set of collocational features .,0
201,"a single scenario for the colour domain in order to learn a rule set for a concept , evius uses the relational learning method explained in section 3 , and defines the learning space by means of a dynamic predicate model .",0
202,a sample annotation conformant to the verbmobil annotation scheme is the annotation of ( 1 ) shown in fig .,0
203,"this divergence points to the need for a distinction between conceptuaj , and lexicalg : ranularitv and inheritance : the wordnet chain represents rather a series of concepts than of words entering the lexical choice process , which appears to be better represented by a cruse-type chain with few designated levels ( but needs to be augmented with near-synonyms for tile 'horing , . . . . . . . . . . . . . . ffntity creature . . . . `` . . . . . . . . li~q form animal , beast , . . . . . . . . animal c > rdate ve~ebrate ~ammal p~cental c~71ivore 7~_1 ine dog j / .",0
204,"in the first case the representation theory is first order logic without structural rules , the formal learning theory from a logical point of view is inductive substructural logic programming and an example of a learning strategy in this framework is emile , a learning algorithm that learns categorial grammars ( adriaans , 1992 ) .",1
205,an important component of the view developed is the observation that most methods use the same simple knowledge representation .,0
206,"we build a probability distribution p ( ylx ) , where y • { 0 , 1 } is a random variable specifying the potential segmentation position in a context x .",1
207,"first , there is the assumption that each grunt has some fixed meaning and some fixed functional role ( filler , back-channel , etc ) .",0
208,"using its finite-state language model , the rextor system generates a set of ternary expressions that correspond to content of a partf-speechtagged input document .",1
209,"since the knowledge the network acquires is a result of the mappings , how the input and output is represented is of great importance .",0
210,"the experiment suggests that the converse of the hypothesis might also be true , in which it is claimed that expressions of the form 'the n large cn ' can not be employed to refer to the set s unless s consists of the n largest objects in d : hypothesis ( .¢= ) : in a situation in which the domain d represents the set of percept_.. : ... ... ... . ~ ~.t.ually : relevmtt , ob_jects > a~ : -expressionof t~he .",0
211,"in gl formalism , lexical entries consist in structured sets of predicates that define a word .",1
212,"much 20 current cybertrans work consists of developing and transitioning tools which can accurately detect and remediate errors , converting documents into a standard ( normalised ) form .",0
213,the reasoning model consists of two functionally linked parts : 1 ) a model of human motivational sphere ; 2 ) reasoning schemes .,1
214,"for the rre-based system , we mapped the +/5 word window of context into a string as follows ( where wi is a word and ti is a part of speech tag ) : learned using the standard feature set .",1
